evento,categoria,factor,vintage,fuente
buen_fin,Electronica,3.5,2022,"BBVA Research (ed. 2019-2022): gasto TPV en electrónica 3-4x vs semana de referencia; EMEC nov, subsector enseres domésticos y computación"
buen_fin,Ropa,3.0,2022,"BBVA Research (ed. 2019-2022): moda entre los rubros de mayor uplift; EMEC nov, subsector textiles y calzado"
buen_fin,Hogar,2.8,2022,"EMEC nov 2018-2022, subsector artículos para el hogar; ANTAD comunicados nov 2019-2022"
buen_fin,Cuidado_Personal,2.2,2022,"EMEC nov 2018-2022, subsector artículos de cuidado personal"
buen_fin,Abarrotes,2.0,2022,"ANTAD nov 2019-2022: autoservicios con uplift menor que departamentales durante Buen Fin"
buen_fin,Bebidas,2.0,2022,"ANTAD nov 2019-2022: autoservicios con uplift menor que departamentales durante Buen Fin"
navidad_ordinaria,*,1.4,2022,"EMEC dic 2018-2022: nivel de diciembre excluyendo los días pico"
nochebuena,*,3.0,2022,"BBVA Research TPV diario (ed. 2019-2022): 24 dic es el día de mayor gasto del año en retail"
navidad_dia,*,2.5,2022,"BBVA Research TPV diario (ed. 2019-2022): 25 dic entre los días de mayor gasto"
fin_de_ano,*,3.0,2022,"BBVA Research TPV diario (ed. 2019-2022): 31 dic segundo pico del año"
ano_nuevo,*,0.5,2022,"Comercio con apertura reducida el 1 de enero; EMEC ene: caída del gasto"
cuesta_enero,*,0.8,2022,"EMEC ene 2019-2023: 'cuesta de enero', el mes más débil del año en comercio minorista"
buen_fin,Electronica,3.7,2023,"Observado en ventas propias, Buen Fin 2023 (lift medido en el EDA); aplicable a partir de 2024"
buen_fin,Ropa,3.6,2023,"Observado en ventas propias, Buen Fin 2023; aplicable a partir de 2024"
buen_fin,Hogar,3.7,2023,"Observado en ventas propias, Buen Fin 2023; aplicable a partir de 2024"
buen_fin,Cuidado_Personal,3.7,2023,"Observado en ventas propias, Buen Fin 2023; aplicable a partir de 2024"
buen_fin,Abarrotes,3.7,2023,"Observado en ventas propias, Buen Fin 2023; aplicable a partir de 2024"
buen_fin,Bebidas,3.7,2023,"Observado en ventas propias, Buen Fin 2023; aplicable a partir de 2024"
navidad_ordinaria,*,1.5,2023,"Observado en ventas propias, temporada 2023-24 (vs día comparable); aplicable a partir de 2024"
nochebuena,*,3.8,2023,"Observado en ventas propias, 24 dic 2023 (vs día comparable); aplicable a partir de 2024"
navidad_dia,*,3.4,2023,"Observado en ventas propias, 25 dic 2023 (vs día comparable); aplicable a partir de 2024"
fin_de_ano,*,3.75,2023,"Observado en ventas propias, 31 dic 2023 (vs día comparable); aplicable a partir de 2024"
ano_nuevo,*,0.33,2023,"Observado en ventas propias, 1 ene 2023 y 2024 (vs día comparable); aplicable a partir de 2024"
cuesta_enero,*,0.85,2023,"Observado en ventas propias, 2-6 ene 2023 y 2024 (vs día comparable); aplicable a partir de 2024"
